,Text
65504,nahui ollin
65867,trocar
66160,pascua
66247,bañábanse
66397,amilpas
66773,Tributábanle
66946,riéganse
67156,socavón
67379,semillas
67423,cocida
67426,cuecen
67468,guisan
67566,muslos
67568,corazones
67784,sacrificábanle
67785,ofreciéndole
67817,apelaba
67880,comiéndolos
67881,vendiéndolos
67883,quemándola
68008,Fundólos
68115,hilado
68117,feriarse
68118,moneda
68336,vencido
68439,sacrificada
68581,Susténtanse
68669,ajusticiar
68681,sacaban sangre
68684,Sahumaban
69144,Cortábanse
69145,sajábanse
69147,rociaban
69155,sacábanles el corazón
69158,canciones
69168,administraban justicia
69296,plantarlo
69572,horadábanse
69577,areito
70158,cere­monias
70466,plantándose
71128,vender miel
71602,pagaban tributo
71647,venderlas
71815,Adoraban ídolos
71851,sembrar chile
71887,sembrar maíz
72493,fuerza de armas
72498,paz
72510,religión
72546,rentas
72562,tanda
72563,rueda
72616,labrados
72786,nombraban
72977,presos
72997,tochcatl
73141,mendigar
73146,rendían
73176,militar
73205,ayunos
73206,penitencias
73209,punzaban
73213,colgaban
73221,devoción
73259,convite
73265,entretenimientos
73268,juegos
73275,incensar
73308,Casamiento
73373,Criaban
73376,enseñados
73392,barrían
73412,enseñarles
73422,canto
73425,cantar
73427,juego de la pelota
73448,Jugaban
73449,juego
73453,hechizos
73467,azotaban
73490,hacer de comer
73491,tañer
73544,traición
73549,confiscadas
73551,Traición
73596,ayunando
73608,bailaba
73650,incensarios
73702,muerto
73747,comiese
73772,prohibía
73777,sabidos
73827,artes
73829,entallar
73840,adivinaban
73842,ciencia
73860,sermón
73861,reprehendiendo
73869,cantaba
73892,Abañábanse
73917,enseñadas
73920,nenontemi
73924,Ramos
73925,Pascua
73949,treguas
74070,ejército
74129,prenderlo
74130,matarlo
74180,celadas
74181,emboscadas
74203,escaramuceasen
74204,celada
74205,emboscada
74208,escaramuzar
74287,haciendas
74297,ingenios de azúcar
74298,caleras
74405,jardines
74864,cosen
74956,ancho
74987,juzgados
74988,concejos de guerra
75259,barrer
75260,encender ocote
75262,echar copal
75276,horadándose
75277,punzándose
75811,tiranizaron
75857,cocían
75882,sacado el corazón
75891,ofrecían maíz
75923,tresquilado
76124,comer aves de caza
76127,comían hojas de tuna
76413,muerte
76512,hurto
76526,holgazán
76527,holgazana
76538,matarle
76819,comían hojas de tunas
76822,comen viandas
76917,ley de naturaleza
77194,administran doctrina
77317,ayuntaron
79103,doctrinada
80153,señoreaba
80486,ganase
81318,cazando
81579,regimiento
81721,reinó
81803,ofreciéndoselos
81842,viciosos
81940,administra los santos sacramentos
81956,fábrica
81957,mesa obispal
82313,sermones
82317,entierran
82326,Pascuas
82360,TANCITA
82368,belicosos
82560,emborracha
82601,Comense
82604,avemaría
82605,Plántanse
82769,pleitistas
82814,cabeza
82850,ganando
82916,perezosos
82984,sembradas
83075,viciosas
83267,huerta franca
83284,arremetieron
83287,vencedoras
83344,escaramuzando
83585,derecho
83829,ganaron
84052,plantaban
84349,calzábanse
84476,baños
84676,TRATOS
84760,tribúto
84791,herrería
84819,Duermen
84866,haraganas
85116,vicioso
85334,administrados
85335,espiritual
85370,tributarle
85441,dominio
85547,HUERTAS
85585,Alcabala
85721,congregaron
86002,libertaron
86431,matábanse
86513,platanares
86576,vendiéndolo
86692,edifican
86741,señoreo
87025,corregir
87036,beodez
87109,beneficiar
87280,culpados
87422,sujetaban
87471,banquetes
87481,beodos
87511,defenderse
87520,tejiendo
